Feature,Before,After
287 , 580.737 , 536.296453868
288 , 580.74 , 536.665186313
289 , 580.877 , 536.666115469
290 , 581.107 , 537.815271868
291 , 581.243 , 537.815271868
292 , 581.407 , 538.667315174
293 , 581.513 , 540.904273594
294 , 581.717 , 540.904273594
295 , 581.813 , 540.904273594
296 , 583.427 , 540.904273594
297 , 583.527 , 541.250556441
298 , 583.847 , 541.250556441
299 , 584.82 , 541.3732581
300 , 584.977 , 541.510252596
301 , 585.35 , 541.665422827
302 , 587.24 , 542.390458919
303 , 587.773 , 542.852092072
304 , 588.2 , 543.001346629
305 , 588.54 , 543.286599295
306 , 588.67 , 543.286599295
307 , 588.673 , 553.274044663
308 , 589.74 , 555.003889978
309 , 590.18 , 555.004685305
310 , 590.55 , 555.013215359
311 , 590.837 , 556.004530106
312 , 601.59 , 556.004530106
313 , 602.713 , 556.005402814
314 , 604.123 , 556.039646298
315 , 604.483 , 556.196142065
316 , 604.747 , 556.196142065
317 , 604.887 , 556.31218382
318 , 604.917 , 557.762600817
319 , 605.273 , 557.762600817
320 , 607.033 , 558.60548078
321 , 607.377 , 560.49890793
322 , 607.537 , 560.49890793
323 , 607.627 , 560.49890793
324 , 607.7 , 560.49890793
325 , 607.927 , 560.49890793
326 , 608.68 , 560.889050329
327 , 608.997 , 560.889050329
328 , 609.2 , 561.006293265
329 , 609.33 , 561.012108067
330 , 609.697 , 561.012108067
331 , 609.887 , 562.982012737
332 , 610.687 , 562.982012737
333 , 610.823 , 563.591539669
334 , 610.957 , 564.621271491
335 , 611.043 , 564.621271491
336 , 611.433 , 564.695315124
337 , 611.6 , 564.695315124
338 , 612.643 , 565.441362589
339 , 612.97 , 565.446583928
340 , 613.397 , 565.699737387
341 , 613.447 , 565.699737387
342 , 613.517 , 566.591882077
343 , 613.763 , 566.591882077
344 , 614.57 , 566.725694369
345 , 615.057 , 566.725694369
346 , 615.06 , 566.725694369
347 , 615.093 , 566.725694369
348 , 615.287 , 567.107232552
349 , 615.337 , 567.107232552
350 , 615.9 , 573.015042918
351 , 616.087 , 574.751185958
352 , 616.133 , 574.756514188
353 , 616.61 , 574.756514188
354 , 616.62 , 575.009722477
355 , 616.687 , 575.013025123
356 , 616.96 , 576.005045153
357 , 616.97 , 576.462787565
358 , 617.207 , 576.798059662
359 , 617.42 , 576.841214928
360 , 625.71 , 577.182006699
361 , 625.797 , 577.182006699
362 , 627.053 , 577.337531154
363 , 627.113 , 577.337531154
364 , 627.24 , 577.615903706
365 , 627.5 , 577.744431807
366 , 627.813 , 578.221395458
367 , 628.15 , 579.000396924
368 , 628.497 , 579.000396924
369 , 628.757 , 579.000396924
370 , 629.337 , 579.000396924
371 , 629.39 , 579.004312132
372 , 629.397 , 579.004312132
373 , 629.62 , 579.004312132
374 , 630.577 , 579.004312132
375 , 631.043 , 579.004312132
376 , 631.053 , 579.004312132
377 , 631.283 , 579.004312132
378 , 631.583 , 579.004312132
379 , 631.737 , 579.004312132
380 , 632.063 , 579.447827674
381 , 632.127 , 579.447827674
382 , 632.827 , 580.007053587
383 , 632.943 , 580.141361477
384 , 643.96 , 581.004326466
385 , 643.983 , 581.007677069
386 , 644.033 , 581.007677069
387 , 644.157 , 581.007677069
388 , 644.16 , 581.007677069
389 , 644.357 , 581.007677069
390 , 645.303 , 581.007677069
391 , 645.377 , 581.007677069
392 , 645.38 , 581.009740756
393 , 645.447 , 581.009740756
394 , 645.51 , 581.009740756
395 , 645.54 , 581.009740756
396 , 651.2 , 581.009740756
397 , 651.203 , 581.009740756
398 , 651.287 , 581.009740756
399 , 651.49 , 581.011109491
400 , 651.64 , 581.012157463
401 , 651.703 , 583.014608946
402 , 652.373 , 583.018599669
403 , 652.433 , 587.864168096
404 , 652.467 , 587.873192176
405 , 652.483 , 588.012141303
406 , 652.55 , 588.012141303
407 , 652.653 , 588.012141303
408 , 665.167 , 601.01508352
409 , 665.2 , 602.012704145
410 , 665.223 , 602.012704145
411 , 665.23 , 602.012704145
412 , 665.283 , 602.012704145
413 , 665.293 , 604.007411429
414 , 666.25 , 604.015416022
415 , 666.33 , 604.02059871
416 , 666.493 , 604.02059871
417 , 666.503 , 604.02059871
418 , 666.553 , 605.004952579
419 , 666.687 , 607.00054402
420 , 671.4 , 607.00818824
421 , 671.5 , 607.012520976
422 , 671.55 , 607.012520976
423 , 671.697 , 607.012520976
424 , 671.73 , 607.01325622
425 , 671.747 , 607.013762329
426 , 672.137 , 608.012827449
427 , 672.207 , 608.022355672
428 , 672.213 , 608.022355672
429 , 672.373 , 608.022355672
430 , 672.413 , 608.414371495
431 , 672.6 , 608.414371495
432 , 680.477 , 609.004190339
433 , 680.557 , 609.005315722
434 , 680.563 , 609.008956793
435 , 680.617 , 609.013700986
436 , 680.647 , 610.014223176
437 , 680.727 , 610.014223176
438 , 683.257 , 610.324920438
439 , 683.42 , 610.324920438
440 , 683.52 , 610.324920438
441 , 683.543 , 610.70421514
442 , 683.75 , 611.000949336
443 , 683.763 , 612.474888375
444 , 687.033 , 612.551332965
445 , 687.093 , 613.008572618
446 , 687.147 , 613.008572618
447 , 687.39 , 613.008572618
448 , 687.473 , 614.011093843
449 , 687.6 , 614.011093843
450 , 690.217 , 615.004591378
451 , 690.39 , 615.00927298
452 , 690.463 , 616.001934537
453 , 690.59 , 616.011061748
454 , 690.717 , 616.011061748
455 , 690.873 , 616.011753737
456 , 703.5 , 616.011753737
457 , 704.22 , 616.014618643
458 , 704.807 , 616.014618643
459 , 705.213 , 616.014618643
460 , 705.397 , 616.458793753
461 , 705.453 , 623.31340248
462 , 706.063 , 623.31340248
463 , 706.247 , 627.00215129
464 , 706.59 , 627.00215129
465 , 706.833 , 628.508812839
466 , 707.493 , 631.004602942
467 , 707.597 , 631.009175268
468 , 711.233 , 631.009324234
469 , 711.293 , 631.011264599
470 , 712.54 , 631.011345013
471 , 712.637 , 631.013891817
472 , 712.667 , 633.446474378
473 , 712.727 , 633.447188913
474 , 712.743 , 639.449760557
475 , 712.81 , 639.449760557
476 , 712.87 , 639.449760557
477 , 712.917 , 640.304302368
478 , 712.953 , 640.304302368
479 , 713.39 , 641.450076183
480 , 713.577 , 641.450076183
481 , 713.673 , 641.450076183
482 , 714.667 , 641.858349471
483 , 715.25 , 641.858349471
484 , 715.583 , 641.933161503
485 , 715.737 , 641.933161503
486 , 715.747 , 641.933161503
487 , 715.827 , 642.036923696
488 , 715.907 , 642.036923696
489 , 715.923 , 642.860561243
490 , 715.993 , 642.866379866
491 , 716.033 , 642.866379866
492 , 721.487 , 643.022994521
493 , 721.563 , 644.006685071
494 , 721.757 , 648.005985817
495 , 721.867 , 648.005985817
496 , 721.873 , 649.164040316
497 , 722.037 , 649.284305088
498 , 726.51 , 651.009394587
499 , 726.6 , 651.585004445
500 , 726.643 , 651.620209869
501 , 726.79 , 651.733720003
502 , 726.89 , 665.004067585
503 , 726.917 , 665.004234901
504 , 729.3 , 665.041070009
505 , 730.01 , 665.903455272
506 , 731.193 , 666.009222118
507 , 731.217 , 666.010102201
508 , 731.353 , 666.011295829
509 , 731.41 , 666.011295829
510 , 731.76 , 666.013033128
511 , 732.007 , 666.241400335
512 , 733.217 , 667.07045019
513 , 733.763 , 667.904648807
514 , 733.777 , 668.447357211
515 , 734.21 , 672.00296383
516 , 739.903 , 676.217790685
517 , 740.21 , 678.884002365
518 , 741.207 , 680.011016722
519 , 741.59 , 680.011506182
520 , 741.887 , 680.01182819
521 , 742.463 , 680.01492113
522 , 743.123 , 683.006826442
523 , 743.163 , 683.007234735
524 , 744.26 , 683.011601381
525 , 744.893 , 683.017193284
526 , 745.443 , 687.008619586
527 , 745.597 , 690.006029374
528 , 773.22 , 704.014786365
529 , 773.277 , 704.014786365
530 , 773.387 , 704.014786365
531 , 773.437 , 705.007769822
532 , 773.463 , 705.007769822
533 , 773.67 , 705.007769822
534 , 775.54 , 705.007769822
535 , 775.663 , 705.575021473
536 , 775.68 , 705.642370283
537 , 775.803 , 705.642370283
538 , 775.81 , 705.642370283
539 , 775.853 , 706.459445236
540 , 780.657 , 706.459445236
541 , 780.757 , 711.003978343
542 , 780.79 , 711.673381627
543 , 780.93 , 712.011536597
544 , 780.93 , 712.012276391
545 , 781.163 , 712.231899945
546 , 783.493 , 712.550850362
547 , 783.517 , 713.007363409
548 , 783.777 , 714.135257736
549 , 783.783 , 714.491296704
550 , 783.877 , 714.531630582
551 , 784.02 , 714.531630582
552 , 806.923 , 715.012933472
553 , 807.0 , 715.013897379
554 , 807.017 , 715.013897379
555 , 807.273 , 715.016900717
556 , 807.333 , 715.019080003
557 , 807.437 , 726.013317703
558 , 809.5 , 729.006058832
559 , 809.53 , 731.003810297
560 , 809.57 , 731.011262521
561 , 809.807 , 741.008572406
562 , 809.937 , 741.008572406
563 , 809.97 , 741.529070386
564 , 817.34 , 741.529070386
565 , 817.34 , 744.256648627
566 , 817.353 , 749.471813204
567 , 817.793 , 773.007032012
568 , 817.99 , 780.013529772
569 , 818.04 , 780.015833036
570 , 821.51 , 780.016192421
571 , 821.52 , 780.775581756
572 , 821.527 , 783.017142863
573 , 821.757 , 807.000091618
574 , 821.76 , 809.009109959
575 , 821.963 , 809.017458026
