Feature,Before,After
723 , 14.122 , 13.7853574422
724 , 14.122 , 13.7857173235
725 , 14.123 , 13.7858638369
726 , 14.123 , 13.7867252922
727 , 14.123 , 13.7874247359
728 , 14.125 , 13.7880646332
729 , 14.126 , 13.788270765
730 , 14.127 , 13.78885
731 , 14.128 , 13.7896204376
732 , 14.131 , 13.7904370181
733 , 14.131 , 13.7906436858
734 , 14.132 , 13.7907754225
735 , 14.132 , 13.791071241
736 , 14.134 , 13.7927954622
737 , 14.135 , 13.7930167788
738 , 14.135 , 13.7954059882
739 , 14.137 , 13.7968094019
740 , 14.137 , 13.7971008989
741 , 14.139 , 13.7973819772
742 , 14.139 , 13.7980920527
743 , 14.142 , 13.7994496251
744 , 14.145 , 13.7995311121
745 , 14.146 , 13.8010958447
746 , 14.146 , 13.8017992489
747 , 14.147 , 13.8027526421
748 , 14.149 , 13.80324
749 , 14.149 , 13.80346
750 , 14.151 , 13.8036552972
751 , 14.151 , 13.8037791544
752 , 14.151 , 13.8052235101
753 , 14.151 , 13.8052235101
754 , 14.153 , 13.8054509247
755 , 14.153 , 13.8058276183
756 , 14.153 , 13.8062881483
757 , 14.154 , 13.8064536928
758 , 14.154 , 13.8067486719
759 , 14.155 , 13.80783
760 , 14.157 , 13.8087360098
761 , 14.16 , 13.8089515599
762 , 14.16 , 13.8097858635
763 , 14.16 , 13.8102169522
764 , 14.163 , 13.8103880901
765 , 14.163 , 13.8108366544
766 , 14.163 , 13.8117257709
767 , 14.164 , 13.81231
768 , 14.164 , 13.8123814126
769 , 14.164 , 13.8125998008
770 , 14.165 , 13.8125998008
771 , 14.165 , 13.8128676183
772 , 14.166 , 13.81516
773 , 14.166 , 13.81684
774 , 14.166 , 13.8183843297
775 , 14.167 , 13.8187749758
776 , 14.167 , 13.819042041
777 , 14.168 , 13.8194026806
778 , 14.168 , 13.8199781483
779 , 14.169 , 13.8199781483
780 , 14.169 , 13.8200490621
781 , 14.17 , 13.8201181483
782 , 14.17 , 13.8201275465
783 , 14.171 , 13.8208015929
784 , 14.171 , 13.8215494934
785 , 14.171 , 13.823031337
786 , 14.172 , 13.8233138132
787 , 14.173 , 13.824154052
788 , 14.173 , 13.824154052
789 , 14.173 , 13.824154052
790 , 14.174 , 13.8242843417
791 , 14.176 , 13.824791978
792 , 14.177 , 13.8270821369
793 , 14.177 , 13.8277672874
794 , 14.178 , 13.82838
795 , 14.179 , 13.82838
